,bookId,status,tags,score,scorerCount,title,author,cover,countWord,updateAt,caseId
19,237366,0,"['奇幻', '史诗奇幻']",7.1,27,帝皇的告死天使,莫格卓根,968199,https://qidian.qpic.cn/qdbimg/349573/1022746073/300,2021-03-01T03:59:02.000Z,0
0,230880,1,"['灵魂转换', '幻想空间', '娱乐圈', '女强', '原创-言情-近代现代-爱情']",6.0,44,导演她谁都不爱,江月年年,356253,http://i8-static.jjwxc.net/tmp/backend/authorspace/s1/9/8734/873314/20200526091113_200_280.jpg,2020-09-21T09:33:44.000Z,0
1,203734,1,"['宅文', '都市青春']",5.7,41,我！黑衣组织大佬,不是塔酱,866677,https://c1.kuangxiangit.com/uploads/allimg/c200225/25-02-20133220-53526-100150681.jpg,2020-09-24T07:05:16.000Z,0
2,239339,0,"['都市言情', '都市异能']",5.7,38,我，天帝！出生震惊了世界,小白纯纯,398844,http://img.faloo.com/Novel/498x705/0/517/000517259.jpg,2020-11-07T03:22:00.000Z,0
3,232048,0,"['宅文', '都市青春']",4.2,49,房东带伞不带刀,江舞,541749,https://c1.kuangxiangit.com/uploads/allimg/c200613/13-06-20000015-99820.jpg,2020-09-27T21:40:41.000Z,0
4,242568,0,"['玄幻', '东方玄幻']",4.8,42,怪异拼图,月中阴,426400,https://qidian.qpic.cn/qdbimg/349573/1023613096/300,2020-11-30T16:00:00.000Z,0
5,234014,0,['西幻传说'],5.8,34,荣光法典,唐默,635800,https://alioss.youdubook.com/uploads/20200807/e3279b55f87515c2922133a91f7947e0.jpg,2021-03-01T16:01:02.000Z,0
6,136954,0,"['情有独钟', '青梅竹马', '机甲', '现代架空', '原创-言情-幻想未来-爱情']",7.5,26,黎明将至[ABO],茂林修竹,171763,http://i9-static.jjwxc.net/novelimage.php?novelid=3367169&coverid=107&ver=43b56db0b8da993e8433f3bb812b5e5c,2020-10-01T11:55:13.000Z,0
7,248794,1,"['火影', '女强', '少年漫', '基建', '衍生-无CP-古色古香-东方衍生']",7.5,26,我和我的两个大号,五昂一,447418,https://wx3.sinaimg.cn/mw690/008cYPLJly1gkid5svod3j30j20qogt0.jpg,2021-03-01T02:07:42.000Z,0
8,248806,0,"['宫廷侯爵', '爽文', '西幻', '复仇虐渣', '原创-言情-幻想未来-轻小说']",6.5,30,[西幻乙女]被退婚的贵族小姐暴富了,挖坑的熊猫,479025,https://tva1.sinaimg.cn/large/0080xEK2ly1gl78e9tvd5j30go0nc7dj.jpg,2021-03-01T06:24:48.000Z,0
9,248800,0,"['都市', '都市异能']",5.4,36,我的头发能创造妖国,三百斤的微笑,676700,https://qidian.qpic.cn/qdbimg/349573/1024853611/300,2021-03-01T14:11:49.000Z,0
10,245090,0,"['军事', '谍战特工']",4.9,39,北国谍影,寻青藤,350600,https://qidian.qpic.cn/qdbimg/349573/1021116068/300,2021-01-21T16:00:00.000Z,0
11,248418,0,"['轻小说', '原生幻想']",4.9,39,掌门低调点,幼儿园一把手,563300,https://qidian.qpic.cn/qdbimg/349573/1024722352/300,2021-03-01T11:27:49.000Z,0
12,249614,0,"['科幻', '时空穿梭']",5.4,35,那美好的无限世界,白眼镜猫,393500,https://qidian.qpic.cn/qdbimg/349573/1025092132/300,2021-03-01T15:36:55.000Z,0
13,217967,1,"['都市', '娱乐明星']",3.3,57,我上我真行,奈何笑忘川,583700,https://qidian.qpic.cn/qdbimg/349573/1019500511/300,2020-09-14T16:00:00.000Z,0
14,176367,0,"['穿越时空', '古典名著', '穿书', '爽文', '衍生-言情-古色古香-其他衍生']",6.4,29,长公主上位指南[三国],漱流枕石,500277,http://i3-static.jjwxc.net/tmp/backend/authorspace/s1/17/16852/1685146/20200608184907_200_280.jpg,2021-01-07T14:07:19.000Z,0
15,248663,0,"['奇幻', '剑与魔法']",5.3,35,谁说骑士不能背刺,Poinya,480900,https://qidian.qpic.cn/qdbimg/349573/1024495056/300,2021-03-01T15:17:34.000Z,0
16,245409,0,"['历史', '外国历史']",5.0,37,逆流之我是学霸,术小城,384000,https://qidian.qpic.cn/qdbimg/349573/1023861494/300,2020-12-13T16:00:00.000Z,0
17,38648,1,"['娱乐圈', '古穿今', '传奇', '现代架空', '原创-言情-近代现代-传奇']",7.1,26,影帝之盛宴,颇,781221,http://i9-static.jjwxc.net/novelimage.php?novelid=2589032&coverid=16&ver=5f9aa81ef995523ac74b644f612ef352,2020-11-27T04:10:50.000Z,0
18,244869,0,"['玄幻', '异世大陆']",5.9,31,凶暴魔猿王,麻烦,514600,https://qidian.qpic.cn/qdbimg/349573/1023896880/300,2021-03-01T15:23:54.000Z,0
19,246114,0,['科幻时空'],7.0,26,欧洲公敌,老道,451500,https://www.youdubook.com//uploads/20201019/7e2b09365c3fd057352dd5bd1027053c.jpg,2020-11-03T02:01:20.000Z,0
0,231955,0,"['宅文', '都市青春']",4.9,53,我是魔鬼，只懂交易,622709,九星少将,https://c1.kuangxiangit.com/uploads/allimg/c200529/29-05-20234214-47220-100175117.jpg,2020-09-28T04:00:01.000Z,0
1,234114,0,"['宅文', '仙侠武侠']",6.2,41,反派王爷的自我修养,549574,硕大的根,https://c1.kuangxiangit.com/uploads/allimg/c200614/14-06-20190322-16417-100165214.jpg,2020-09-06T16:00:00.000Z,0
2,228569,0,"['宅文', '都市青春']",5.4,45,她们都想下克上！,861651,梦里清雨,https://c1.kuangxiangit.com/uploads/allimg/c200518/18-05-20182246-44725.jpg,2020-09-27T21:24:03.000Z,0
3,231690,1,"['西幻', '魔法幻情', '史诗奇幻', '原创-言情-架空历史-奇幻']",6.2,34,身为女王如何拒绝爱意,455741,吾九殿,http://i9-static.jjwxc.net/tmp/backend/authorspace/s1/19/18639/1863900/20200627151046_200_280.jpg,2021-01-26T19:37:07.000Z,0
4,232276,1,"['历史衍生', '美食', '甜文', '悬疑推理', '衍生-言情-架空历史-东方衍生']",6.5,31,我在开封府坐牢,989961,鱼七彩,http://i9-static.jjwxc.net/tmp/backend/authorspace/s1/8/7119/711837/20200502183842_200_280.jpg,2020-12-16T03:12:49.000Z,0
5,240658,0,"['轻小说', '衍生同人']",4.8,38,柯学世界写推理小说,216300,雨后不带刀,https://qidian.qpic.cn/qdbimg/349573/1023281795/300,2020-10-14T16:00:00.000Z,0
6,245787,0,"['穿越时空', '原创-言情-古色古香-爱情']",5.7,32,玛丽苏和金手指和三国,535405,蒿里茫茫,http://i9-static.jjwxc.net/novelimage.php?novelid=5148726&coverid=115&ver=d677431505647b9af7571c079955dfca,2021-03-01T14:17:48.000Z,0
7,247954,0,"['都市', '都市生活']",5.7,32,学霸的日本女友,673800,转角吻猪,https://qidian.qpic.cn/qdbimg/349573/1023188798/300,2021-03-01T01:47:18.000Z,0
8,174007,1,"['悬疑', '诡秘悬疑']",4.9,37,重生日本做大叔,308100,打小就胖,https://qidian.qpic.cn/qdbimg/349573/1016457486/300,2020-12-08T16:00:00.000Z,0
9,246147,0,"['奇幻', '现代魔法']",4.9,37,漫威魔法事件簿,663500,别语愁难听,https://qidian.qpic.cn/qdbimg/349573/1024118105/300,2021-03-01T10:55:51.000Z,0
10,246276,0,"['玄幻', '东方玄幻']",5.0,36,我的孝心变质了,690000,打死不鸽,https://qidian.qpic.cn/qdbimg/349573/1022455371/300,2021-03-01T15:46:10.000Z,0
11,249279,0,"['轻小说', '衍生同人']",6.2,29,柯学捡尸人,359300,仙舟,https://qidian.qpic.cn/qdbimg/349573/1025089307/300,2021-03-01T20:52:00.000Z,0
12,171337,0,['衍生-言情-幻想未来-东方衍生'],7.8,23,［全职］沉迷荣耀，无法自拔,128679,赤司太太,http://i9-static.jjwxc.net/novelimage.php?novelid=3537064&coverid=57&ver=e571b935f476c27c2a3b20ec05b63cbb,2020-11-23T04:20:00.000Z,0
13,179313,1,"['仙侠', '神话修真']",4.7,38,我真不想当圣师,707200,神秘道人,https://qidian.qpic.cn/qdbimg/349573/1017456326/300,2020-12-29T16:00:00.000Z,0
14,170691,0,"['英美衍生', '恐怖', '超级英雄', '爽文', '衍生-纯爱-近代现代-西方衍生']",8.5,21,[综英美]我的变种能力为什么这么羞耻,282529,虽矣,http://i7-static.jjwxc.net/tmp/backend/authorspace/s1/17/16036/1603563/20200418152503_200_280.jpg,2020-12-11T06:54:33.000Z,0
15,249755,0,"['体育', '足球运动']",6.6,27,足坛大师进化录,370100,小白免大能猫,https://qidian.qpic.cn/qdbimg/349573/1024586725/300,2021-03-01T15:30:07.000Z,0
16,160249,0,"['轻小说', '衍生同人']",4.2,42,男巫阿米妥,762099,刹那天青,https://qidian.qpic.cn/qdbimg/349573/1013610972/300,2020-11-09T16:00:00.000Z,0
17,177465,0,"['悬疑', '诡秘悬疑']",4.2,42,阴阳怪气的驱魔人,373000,庚辰辛巳,https://qidian.qpic.cn/qdbimg/349573/1017016218/300,2020-09-14T16:00:00.000Z,0
18,192433,0,"['打脸', '甜文', '快穿', '爽文', '原创-言情-近代现代-爱情']",6.3,28,必须渣遍全剧本[快穿],376996,加芯灯笼,https://shop.io.mi-img.com/app/shop/img?id=shop_cb1b0a71d7a2d88ae4b1093b57cabb5d.jpeg,2020-12-13T17:15:35.000Z,0
19,175699,0,"['仙侠', '修真文明']",4.4,40,修仙从钻木取火开始,893900,汉家枫竹,https://qidian.qpic.cn/qdbimg/349573/1016906736/300,2021-02-27T08:22:03.000Z,0
0,236739,1,"['情有独钟', '史诗奇幻', '原创-言情-架空历史-仙侠']",5.8,41,大佬们对我恨之入骨,吃鲸路人,578279,https://tva1.sinaimg.cn/large/0080xEK2ly1gh2g1c55t2j30b40fkdl5.jpg,2021-01-10T18:54:04.000Z,0
1,211448,1,"['同人小说', '动漫同人']",6.3,37,火影：最恐怖の叛忍,送包裹,415969,http://img.faloo.com/Novel/498x705/0/393/000393878.jpg,2020-10-27T08:33:00.000Z,0
2,239590,1,"['综漫', '黑篮', '系统', '爽文', '衍生-言情-近代现代-轻小说']",6.4,31,我在综漫开马甲,Iphigenie,361536,http://i9-static.jjwxc.net/novelimage.php?novelid=4887156&coverid=116&ver=9aa10bd6eb8346f682d259352fcd6d86,2020-11-09T16:50:32.000Z,0
3,243531,1,"['幻想空间', '穿越时空', '娱乐圈', '女强', '原创-言情-近代现代-爱情']",6.1,32,我有演戏专用人格,月离争,620344,https://wx2.sinaimg.cn/mw690/005ITukHly1gi4513fycnj308c0bo79a.jpg,2021-01-29T06:19:10.000Z,0
